RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,"LeBron James, SF",MIA,77,37.7,8.65,0.43,9.08,19.9
2,"Chris Paul, PG",LAC,62,35,6.03,1.95,7.98,14.5
3,"Andre Iguodala, SF",GS,63,32.4,1.89,4.74,6.63,11.5
4,"Kevin Durant, SF",OKC,81,38.5,6.27,0.15,6.42,17.6
5,"Dirk Nowitzki, PF",DAL,80,32.9,4.56,1.79,6.35,14.1
6,"Stephen Curry, PG",GS,78,36.5,6.62,-0.38,6.24,15.5
7,"Nick Collison, PF",OKC,81,16.7,2.08,3.64,5.72,6.9
8,"Manu Ginobili, SG",SA,68,22.8,5.07,0.35,5.42,7.7
9,"Tim Duncan, C",SA,74,29.2,-0.05,5.38,5.33,10.4
10,"LaMarcus Aldridge, PF",POR,69,36.2,1.89,3.23,5.12,11.6
11,"Channing Frye, PF",PHX,82,28.2,3.92,1.17,5.09,10.8
12,"Kevin Love, PF",MIN,77,36.3,3.52,1.54,5.06,13.5
13,"Russell Westbrook, PG",OKC,46,30.7,4.82,0.23,5.05,6.9
14,"Mike Conley, PG",MEM,73,33.5,4.28,0.42,4.7,10.2
15,"Blake Griffin, PF",LAC,80,35.8,2.65,2,4.65,12.8
16,"Amir Johnson, PF",TOR,77,28.8,1.47,3.14,4.61,9.2
17,"Joakim Noah, C",CHI,80,35.3,0.65,3.92,4.57,11.3
18,"Vince Carter, SG",DAL,81,24.4,2.02,2.46,4.48,8.4
19,"Serge Ibaka, PF",OKC,81,32.9,1.23,3.23,4.46,11.6
20,"Patrick Beverley, PG",HOU,56,31.3,2.98,1.29,4.27,7.3
21,"Kyle Lowry, PG",TOR,79,36.2,3.84,0.41,4.25,11.6
22,"Dwight Howard, C",HOU,71,33.7,-0.67,4.91,4.24,9.9
23,"Taj Gibson, PF",CHI,82,28.7,0.56,3.64,4.2,8.8
24,"Marcin Gortat, C",WSH,81,32.8,0.12,4,4.12,10.4
25,"Eric Bledsoe, PG",PHX,43,32.9,0.11,3.97,4.08,5.8
26,"Anderson Varejao, C",CLE,65,27.7,0.47,3.59,4.06,6.9
27,"Chris Andersen, PF",MIA,72,19.4,0.19,3.81,4,5.2
28,"Patty Mills, PG",SA,81,18.9,3.42,0.58,4,6.1
29,"Ricky Rubio, PG",MIN,82,32.2,1.43,2.47,3.9,10.8
30,"Kevin Garnett, PF",BKN,54,20.5,-2.78,6.6,3.82,4
31,"Tyson Chandler, C",NY,55,30.2,-0.08,3.75,3.67,5.8
32,"David West, PF",IND,80,30.9,1.23,2.37,3.6,8.9
33,"Marc Gasol, C",MEM,59,33.4,-1.64,5.23,3.59,6.9
34,"DeAndre Jordan, C",LAC,82,35,0.19,3.37,3.56,10.9
35,"Tiago Splitter, C",SA,59,21.5,-1.01,4.53,3.52,4.7
36,"Danny Green, SG",SA,68,24.3,0.79,2.72,3.51,6.1
37,"Nikola Pekovic, C",MIN,54,30.8,1.31,2.19,3.5,6.4
38,"Draymond Green, PF",GS,82,21.9,-0.49,3.99,3.5,6.5
39,"Goran Dragic, PG",PHX,76,35.1,4.57,-1.14,3.43,9.7
40,"Ty Lawson, PG",DEN,62,35.8,4.38,-1.08,3.3,8.3
41,"Kyle Korver, SG",ATL,71,33.9,2.53,0.73,3.26,8.4
42,"DeMarre Carroll, SF",ATL,73,32.1,1.29,1.92,3.21,8.1
43,"Deron Williams, PG",BKN,64,32.2,4.87,-1.67,3.2,6.9
44,"Chris Bosh, PF",MIA,79,32,0.14,3.04,3.18,8.4
45,"James Harden, PG",HOU,73,38,5.97,-2.84,3.13,9.7
46,"Mike Dunleavy, SG",CHI,82,31.5,1.16,1.91,3.07,8.2
47,"Kawhi Leonard, SF",SA,66,29.1,0.89,2.13,3.02,6.6
48,"Luol Deng, SF",CHI/CLE,63,35.1,1.15,1.82,2.97,7
49,"Omer Asik, C",HOU,48,20.2,-2.04,4.87,2.83,3.3
50,"Damian Lillard, PG",POR,82,35.8,4.74,-1.95,2.79,9.4
51,"Matt Bonner, C",SA,61,11.3,2.16,0.61,2.77,2.2
52,"Joe Johnson, SG",BKN,79,32.6,3.55,-0.8,2.75,7.8
53,"Carmelo Anthony, PF",NY,77,38.7,3.77,-1.02,2.75,8.9
54,"Paul George, SF",IND,80,36.2,0.16,2.58,2.74,8.9
55,"Tony Parker, PG",SA,68,29.4,3.11,-0.4,2.71,6.4
56,"Pablo Prigioni, PG",NY,66,19.4,1.73,0.81,2.54,3.6
57,"Paul Pierce, SF",BKN,75,28,-0.63,3.13,2.5,6.1
58,"George Hill, PG",IND,76,32,1.93,0.56,2.49,7
59,"Robin Lopez, C",POR,82,31.8,-0.33,2.76,2.43,7.7
60,"Jrue Holiday, PG",NO,34,33.6,0.41,2,2.41,3.3
61,"Matt Barnes, SF",LAC,63,27.5,1.95,0.39,2.34,5.2
62,"Tony Allen, SG",MEM,55,23.2,-0.41,2.74,2.33,3.6
63,"Isaiah Thomas, PG",SAC,72,34.7,3.85,-1.62,2.23,7.2
64,"Kobe Bryant, SF",LAL,6,29.5,3.87,-1.65,2.22,0.5
65,"John Wall, PG",WSH,82,36.3,2.66,-0.44,2.22,8.3
66,"Brook Lopez, C",BKN,17,31.4,0.43,1.78,2.21,1.5
67,"Al Jefferson, C",CHA,73,35,1.12,1.02,2.14,6.8
68,"Nene Hilario, C",WSH,53,29.4,-1.99,4.12,2.13,4.3
69,"Jimmy Butler, SG",CHI,67,38.7,0.9,1.23,2.13,6.8
70,"Paul Millsap, PF",ATL,74,33.5,0.04,2.06,2.1,6.8
71,"Andre Miller, PG",DEN/WSH,58,16.9,1.85,0.24,2.09,2.6
72,"Zach Randolph, PF",MEM,79,34.2,1.06,1.03,2.09,7.1
73,"Anthony Tolliver, PF",CHA,64,20.3,-0.12,2.21,2.09,3.5
74,"Andrew Bogut, C",GS,67,26.4,-3.1,5.16,2.06,5
75,"Klay Thompson, SG",GS,81,35.4,2.2,-0.17,2.03,7.9
76,"Avery Bradley, SG",BOS,60,30.9,0.76,1.22,1.98,5.1
77,"Chandler Parsons, SF",HOU,74,37.6,1.37,0.59,1.96,7.6
78,"Boris Diaw, C",SA,79,25,0.61,1.34,1.95,5.4
79,"Dwyane Wade, SG",MIA,54,32.9,1.19,0.73,1.92,4.7
80,"Danny Granger, SF",IND/LAC,41,20.7,0.61,1.3,1.91,2.3
81,"Jae Crowder, PF",DAL,78,16.1,0.1,1.81,1.91,3.3
82,"Larry Sanders, PF",MIL,23,25.4,-4.46,6.29,1.83,1.5
83,"Greg Monroe, C",DET,82,32.8,0.95,0.87,1.82,7.1
84,"Roy Hibbert, C",IND,81,29.7,-1.44,3.22,1.78,5.9
85,"Mario Chalmers, PG",MIA,73,29.8,0.94,0.82,1.76,5.4
86,"Derrick Rose, PG",CHI,10,31.1,2.67,-0.91,1.76,0.7
87,"Steve Novak, SF",TOR,54,10,2.01,-0.26,1.75,1.3
88,"Jason Thompson, PF",SAC,82,24.5,0.29,1.46,1.75,5.1
89,"Matthew Dellavedova, PG",CLE,72,17.7,1.57,0.15,1.72,3.2
90,"Thaddeus Young, PF",PHI,79,34.4,0.85,0.85,1.7,7.2
91,"Reggie Jackson, PG",OKC,80,28.5,1.04,0.66,1.7,5.8
92,"Devin Harris, PG",DAL,40,20.5,2.03,-0.34,1.69,2
93,"Kemba Walker, PG",CHA,73,35.8,0.79,0.79,1.58,6.1
94,"Rudy Gay, SF",SAC/TOR,73,34.7,0.68,0.85,1.53,6.1
95,"Patrick Patterson, PF",SAC/TOR,65,23.6,0.42,1.11,1.53,3.6
96,"Al Horford, PF",ATL,29,33,-0.69,2.19,1.5,2.3
97,"Pero Antic, PF",ATL,50,18.5,-0.89,2.39,1.5,2.2
98,"Anthony Davis, PF",NO,67,35.2,0.65,0.78,1.43,5.5
99,"Josh Smith, PF",DET,77,35.5,-0.38,1.78,1.4,6.5
100,"Monta Ellis, SG",DAL,82,36.9,2.92,-1.52,1.4,7
101,"Iman Shumpert, SG",NY,74,26.5,-0.63,2,1.37,4.3
102,"Jared Sullinger, C",BOS,74,27.6,-0.25,1.58,1.33,4.7
103,"Michael Kidd-Gilchrist, SF",CHA,62,24.2,-0.78,2.07,1.29,3.3
104,"David Lee, PF",GS,69,33.2,-0.13,1.35,1.22,5.2
105,"Brandan Wright, PF",DAL,58,18.6,1.62,-0.43,1.19,2.3
106,"Ryan Anderson, PF",NO,22,36.1,3.04,-1.87,1.17,1.7
107,"Greivis Vasquez, PG",SAC/TOR,79,22.5,1.41,-0.25,1.16,3.7
108,"Corey Brewer, SF",MIN,81,32.2,2.03,-0.89,1.14,6
109,"Shane Battier, SF",MIA,73,20.1,-0.2,1.32,1.12,3.1
110,"CJ Miles, SF",CLE,51,19.3,0.89,0.21,1.1,2.1
111,"Josh Harrellson, C",DET,32,9.9,-2.31,3.39,1.08,0.7
112,"JR Smith, SG",NY,74,32.7,1.82,-0.75,1.07,4.8
113,"Al-Farouq Aminu, PF",NO,80,25.6,-1.01,2.07,1.06,4.3
114,"Pau Gasol, C",LAL,60,31.4,-0.16,1.2,1.04,4.2
115,"Lance Stephenson, SG",IND,78,35.3,0.9,0.14,1.04,5.7
116,"Kosta Koufos, C",MEM,80,16.9,-1.67,2.67,1,2.7
117,"Andrei Kirilenko, SF",BKN,45,19,-0.2,1.18,0.98,1.7
118,"Kenyon Martin, PF",NY,32,19.8,-2.86,3.83,0.97,1.2
119,"Trevor Ariza, SF",WSH,77,35.4,-0.1,1.04,0.94,5.5
120,"Ryan Kelly, PF",LAL,59,22.2,1.95,-1.01,0.94,2.9
121,"Jeff Withey, C",NO,58,11.8,-0.79,1.7,0.91,1.4
122,"Jameer Nelson, PG",ORL,68,32,2.78,-1.89,0.89,4.3
123,"Raymond Felton, PG",NY,65,31,2.13,-1.24,0.89,3.9
124,"Landry Fields, SG",TOR,30,10.7,-0.6,1.47,0.87,0.6
125,"Kyle O'Quinn, C",ORL,69,17.2,-0.58,1.44,0.86,2.4
126,"Shavlik Randolph, PF",PHX,14,6.8,-0.48,1.31,0.83,0.2
127,"DeMarcus Cousins, C",SAC,71,32.4,-1.1,1.86,0.76,4.5
128,"Derek Fisher, PG",OKC,81,17.6,-1.21,1.95,0.74,2.8
129,"Nikola Vucevic, C",ORL,57,31.8,-1.67,2.4,0.73,3.4
130,"Robbie Hummel, SF",MIN,53,12.4,0.13,0.53,0.66,1.2
131,"Thabo Sefolosha, SF",OKC,61,26,-1.32,1.95,0.63,3
132,"Josh McRoberts, PF",CHA,78,30.3,0.03,0.59,0.62,4.1
133,"Chuck Hayes, PF",SAC/TOR,61,12.3,-1.84,2.44,0.6,1.4
134,"Gordon Hayward, SF",UTAH,77,36.4,2.17,-1.59,0.58,5
135,"Andre Drummond, C",DET,81,32.3,0.58,-0.06,0.52,4.7
136,"JJ Redick, SF",LAC,35,28.2,3.37,-2.86,0.51,1.8
137,"Gustavo Ayon, PF",ATL,26,16.5,-1.96,2.46,0.5,0.7
138,"Nicolas Batum, SG",POR,82,36,1.43,-0.95,0.48,5.2
139,"Darius Miller, SF",NO,45,16.1,-1.02,1.45,0.43,1.2
140,"Steve Nash, PG",LAL,15,20.9,1.58,-1.2,0.38,0.6
141,"Gerald Wallace, SF",BOS,58,24.4,-2.02,2.39,0.37,2.4
142,"Ryan Hollins, C",LAC,61,7.9,-3.62,3.91,0.29,0.8
143,"Zaza Pachulia, C",MIL,53,25,-1.45,1.71,0.26,2.1
144,"Wesley Matthews, SG",POR,82,33.9,1.26,-1.08,0.18,4.4
145,"Timofey Mozgov, C",DEN,82,21.6,-1.18,1.35,0.17,2.9
146,"Kenneth Faried, PF",DEN,80,27.2,1.34,-1.17,0.17,3.6
147,"Chris Kaman, C",LAL,39,18.9,-2.41,2.57,0.16,1.2
148,"Nate Robinson, PG",DEN,44,19.7,2,-1.89,0.11,1.3
149,"Jeremy Lin, PG",HOU,71,28.9,-0.19,0.28,0.09,3.2
150,"Ekpe Udoh, C",MIL,42,19.1,-2.77,2.83,0.06,1.2
151,"Nate Wolters, PG",MIL,58,22.6,-1.53,1.57,0.04,1.9
152,"Markieff Morris, PF",PHX,81,26.6,0.53,-0.55,-0.02,3.2
153,"Marvin Williams, PF",UTAH,66,25.4,-0.32,0.25,-0.07,2.3
154,"Darrell Arthur, PF",DEN,68,17.1,-2.47,2.4,-0.07,1.7
155,"Dion Waiters, SG",CLE,70,29.6,1.38,-1.45,-0.07,2.9
156,"A.J. Price, PG",MIN,28,3.5,0.03,-0.12,-0.09,0.1
157,"Brandon Davies, PF",PHI,51,11.3,-0.96,0.8,-0.16,0.8
158,"DeMar DeRozan, SG",TOR,79,38.2,0.45,-0.62,-0.17,3.9
159,"PJ Tucker, SF",PHX,81,30.7,-0.25,0.05,-0.2,3.4
160,"Andray Blatche, C",BKN,73,22.2,-0.63,0.42,-0.21,2.1
161,"Alec Burks, SG",UTAH,78,28.1,1.43,-1.68,-0.25,2.8
162,"Aron Baynes, C",SA,53,9.3,-1.56,1.3,-0.26,0.7
163,"James Jones, SG",MIA,20,11.8,-0.84,0.55,-0.29,0.3
164,"Courtney Lee, SG",BOS/MEM,79,25,0.51,-0.8,-0.29,2.4
165,"Marcus Morris, PF",PHX,82,22,0.49,-0.78,-0.29,2.3
166,"Ersan Ilyasova, PF",MIL,55,26.9,-0.25,-0.07,-0.32,1.8
167,"Jeff Ayres, PF",SA,73,13,-1.01,0.69,-0.32,1.2
168,"Andrew Bynum, C",CLE/IND,26,19.8,-2.89,2.55,-0.34,0.7
169,"Shelvin Mack, PG",ATL,73,20.4,0.86,-1.2,-0.34,1.8
170,"Jason Smith, PF",NO,31,26.8,-1.72,1.36,-0.36,1
171,"Evan Fournier, SF",DEN,76,19.8,-0.73,0.37,-0.36,2
172,"Samuel Dalembert, C",DAL,80,20.2,-3.48,3.1,-0.38,2
173,"Wilson Chandler, SF",DEN,62,31.1,-0.45,0.06,-0.39,2.5
174,"Jodie Meeks, SG",LAL,77,33.2,1.53,-1.94,-0.41,3.3
175,"Joel Anthony, PF",BOS/MIA,33,5.6,-2.34,1.85,-0.49,0.2
176,"Chris Douglas-Roberts, SG",CHA,49,20.7,-0.7,0.19,-0.51,1.1
177,"Bradley Beal, SG",WSH,73,34.7,-0.61,0.08,-0.53,2.8
178,"Hedo Turkoglu, SF",LAC,38,10.3,-0.99,0.45,-0.54,0.5
179,"Kirk Hinrich, SG",CHI,73,29,-1.52,0.98,-0.54,2.2
180,"Luc Mbah a Moute, PF",MIN/SAC,64,15.7,-1.81,1.25,-0.56,1.1
181,"Victor Oladipo, SG",ORL,80,31.1,-1.53,0.97,-0.56,2.7
182,"Tyler Zeller, C",CLE,70,15,-2.06,1.49,-0.57,1.2
183,"Ray Allen, SG",MIA,73,26.5,2.38,-2.96,-0.58,2
184,"Jared Dudley, SF",LAC,74,23.4,-0.74,0.15,-0.59,1.9
185,"Shaun Livingston, PG",BKN,76,26,-0.11,-0.49,-0.6,2.1
186,"Nick Calathes, SG",MEM,71,16.5,-0.71,0.11,-0.6,1.2
187,"Jamal Crawford, SG",LAC,69,30.3,1.75,-2.38,-0.63,2.3
188,"Chase Budinger, SF",MIN,41,18.3,0.21,-0.84,-0.63,0.8
189,"Al Harrington, PF",WSH,34,15,-0.77,0.13,-0.64,0.5
190,"Alexey Shved, PG",MIN,63,10.5,-0.23,-0.47,-0.7,0.7
191,"Luigi Datome, SF",DET,34,7,-0.87,0.14,-0.73,0.2
192,"Kevin Martin, SG",MIN,68,32,1.25,-2,-0.75,2.3
193,"Quincy Pondexter, SG",MEM,15,18,0.04,-0.8,-0.76,0.3
194,"Jason Maxiell, PF",ORL,34,14.4,-3.25,2.48,-0.77,0.5
195,"Toure' Murry, SF",NY,51,7.3,-0.66,-0.11,-0.77,0.4
196,"C.J. Watson, PG",IND,63,18.9,0.15,-0.93,-0.78,1.2
197,"Luke Babbitt, SF",NO,27,17.5,1.01,-1.83,-0.82,0.4
198,"Kentavious Caldwell-Pope, SG",DET,80,19.8,-1.8,0.98,-0.82,1.6
199,"Donatas Motiejunas, PF",HOU,62,15.4,-1.37,0.53,-0.84,0.9
200,"Martell Webster, SF",WSH,78,27.7,1.97,-2.86,-0.89,1.9
201,"Rajon Rondo, PG",BOS,30,33.3,0.99,-1.92,-0.93,0.9
202,"Derrick Favors, PF",UTAH,73,30.2,-2.54,1.61,-0.93,1.9
203,"CJ McCollum, SG",POR,38,12.5,-0.14,-0.79,-0.93,0.4
204,"Kyle Singler, SF",DET,82,28.5,-0.83,-0.14,-0.97,2
205,"Glen Davis, PF",LAC/ORL,68,24.4,-3.22,2.22,-1,1.4
206,"Troy Daniels, SG",HOU,5,15,0.51,-1.51,-1,0.1
207,"Nick Young, SG",LAL,64,28.3,0.91,-1.92,-1.01,1.6
208,"Beno Udrih, PG",NY/MEM,41,15.7,0.42,-1.45,-1.03,0.5
209,"Shawn Marion, SG",DAL,76,31.7,-1.72,0.67,-1.05,1.9
210,"Lavoy Allen, PF",IND/PHI,65,16.5,-3.07,2.02,-1.05,0.9
211,"Jeff Teague, PG",ATL,79,32.2,-0.22,-0.84,-1.06,2.1
212,"Greg Smith, PF",HOU,11,9.1,-0.94,-0.14,-1.08,0.1
213,"Tayshaun Prince, SF",MEM,76,25.6,-1.46,0.35,-1.11,1.4
214,"Elton Brand, PF",ATL,73,19.4,-2.84,1.72,-1.12,1.1
215,"Dante Cunningham, SF",MIN,81,20.2,-1.28,0.14,-1.14,1.2
216,"Giannis Antetokounmpo, PF",MIL,77,24.6,0.66,-1.8,-1.14,1.4
217,"Hasheem Thabeet, C",OKC,23,8.3,-4.74,3.58,-1.16,0.2
218,"Chris Copeland, SF",IND,41,6.5,0.76,-1.93,-1.17,0.2
219,"Ian Mahinmi, C",IND,77,16.2,-4.93,3.75,-1.18,0.9
220,"Malcolm Thomas, PF",SA/UTAH,8,7.9,-0.98,-0.22,-1.2,0
221,"Andre Roberson, SG",OKC,40,10,-1.56,0.34,-1.22,0.3
222,"Trey Burke, PG",UTAH,70,32.3,2.02,-3.25,-1.23,1.5
223,"Robert Covington, SF",HOU,7,4.9,-1.35,0.11,-1.24,0
